Name,Buy,Sell,Found Buy Prices,Found Sell Prices
black cat ears,6.83,8.66,"[5, 6, 7, 9, 6, 8]","[10, 8, 8, 10, 8, 11, 11, 8, 10, 10, 9, 9, 9, 10, 8, 8, 8, 8, 9, 9, 10, 8, 10, 6, 15, 8, 13, 10, 12, 8, 10, 11, 10, 6, 6, 8, 7, 9, 6, 5, 5, 8, 8, 6, 6, 7, 10, 10, 7, 8, 7, 10, 7, 6, 10, 11, 12, 7, 9, 10, 9, 10, 9, 8, 8, 11, 11, 10, 9, 10, 9, 11, 7, 10, 10, 12, 8, 8, 8, 9, 9, 7, 16, 10, 10, 6, 6, 9, 10, 10, 6, 6, 6, 5, 7, 8, 10, 8, 6, 8, 9, 8, 7, 7, 7, 9, 7, 11, 7, 8, 8]"
blue hardhat,N/A,N/A,N/A,N/A
bowler bunny hat,N/A,76.0,N/A,"[75, 75, 80, 75, 75]"
brainflower,36.0,1818.73,[36],"[42, 4600, 42, 4950, 48, 3950, 3950, 39, 3600, 44, 4950, 40, 4950, 45, 3550, 3550, 3780, 38, 3450, 3700, 48, 41, 47, 39, 37, 60, 60, 3650, 3650, 48, 39, 3350, 51, 51, 48, 35, 3450, 3450, 38, 3680, 44, 3640, 37, 99, 35, 39, 37, 3650, 3650, 99, 3780, 53, 3510, 3510, 3345, 37, 3550, 3550, 3450]"
brainwave capacitor,30.0,0.06,[30],"[0.0625, 0.0625]"
bridal veil,30.0,N/A,[30],N/A
build antennae,N/A,6.67,N/A,"[6, 6, 8]"
bunny ears,157.5,188.53,"[130, 150, 160, 190]","[210, 190, 200, 150, 150, 160, 180, 150, 210, 220, 200, 200, 225, 180, 200, 180, 200]"
burning face,N/A,N/A,N/A,N/A
butterfly hair pin,N/A,N/A,N/A,N/A
candle crown,10.0,41.5,[10],"[30, 47, 40, 40, 45, 50, 50, 50, 47, 30, 30, 35, 55, 28, 40, 50, 25, 50, 60, 40, 40, 40, 40, 50, 35, 40, 40, 45, 40, 41, 40, 35]"
candy cane elf hat,N/A,N/A,N/A,N/A
carrot on a stick,53.75,67.41,"[50, 50, 50, 65]","[65, 65, 75, 55, 80, 70, 70, 55, 57, 75, 70, 50, 65, 65, 65, 70, 65, 90, 70, 65, 70, 60, 75, 70, 70, 75, 70, 55, 60, 75, 65, 70]"
cartoon glove hat blue,N/A,2.0,N/A,"[2, 2, 2]"
cartoon glove hat red,N/A,1.5,N/A,"[2, 1]"
carved pumpkin hat,N/A,20.0,N/A,[20]
cat as a hat,N/A,16.0,N/A,[16]
celestial halo,33.9,56.95,"[50, 30, 36, 30, 50, 30, 30, 50, 40, 25, 45, 45, 40, 30, 30, 30, 30, 30, 30, 50, 30, 5, 50, 30, 30, 30, 30, 25, 30, 30, 30]","[70, 45, 65, 60, 30, 60, 45, 70, 55, 55, 55, 70, 60, 65, 40, 50, 60, 53, 50, 60, 65, 70]"
challenge crown,937.12,1325.81,"[40, 3650, 3650, 31, 42, 34, 17, 33]","[4350, 3750, 20, 3450, 39, 3525, 43, 41, 39, 3850, 38, 39, 3450, 24, 3680, 42, 37, 44, 34, 44, 3860, 3900, 38, 3750, 41, 34, 43, 4275, 34, 23, 35, 3850, 20, 38, 3585, 41, 31, 21, 22, 22, 42, 45, 37, 3650, 44, 44, 5, 33, 43, 39, 4350, 21, 3785, 3815, 44, 3750, 43, 3850, 31, 4250, 42, 45, 3750, 34, 3825, 20, 3666, 3250, 18, 34]"
chef hat,N/A,N/A,N/A,N/A
chef's cap,N/A,10.0,N/A,"[10, 10]"
chichen-itza hat,N/A,N/A,N/A,N/A
chinese dragon body,N/A,4.4,N/A,"[3, 4, 4, 4, 7]"
chinese dragon head,25.0,26.31,[25],"[30, 25, 30, 25, 20, 20, 25, 26, 26, 30, 30, 25, 30]"
chinese dragon tail,8.0,11.0,[8],"[12, 10]"
chip-and-dip,32.5,38.43,"[30, 35]","[38, 38, 40, 40, 43, 36, 40, 37, 36, 40, 40, 40, 37, 40, 37, 37, 37, 36, 37, 40, 40, 35, 40]"
coconut crown,N/A,1.67,N/A,"[2, 1, 1, 2, 2, 2, 2, 1, 2, 3, 1, 1]"
comet beanie,1670.0,1212.26,"[1650, 1680, 1680]","[17, 17, 13, 1690, 14, 1700, 1750, 1750, 1920, 1750, 17, 1750, 1650, 20, 1850, 1650, 14, 14, 21, 1750, 1700, 1680, 1680, 1620, 17, 1750, 1730, 1920, 17, 1760, 17, 17, 1740, 1950, 1850, 1350, 1890, 1650, 1750, 1710, 1880, 1880]"
confetti crown,N/A,2.0,N/A,"[1, 1, 1, 2, 1, 3, 2, 5, 2]"
conquest's helm,N/A,N/A,N/A,N/A
country riding hat,N/A,N/A,N/A,N/A
country tweed flat cap,30.0,40.24,[30],"[45, 40, 40, 50, 30, 30, 40, 35, 45, 32, 50, 40, 43, 40, 40, 45, 31, 50, 45, 45, 30, 40, 40, 40, 40]"
cowboy hat,N/A,N/A,N/A,N/A
cracked egg hat,N/A,6.0,N/A,[6]
cranial lagomorph,440.0,515.74,"[370, 450, 500]","[500, 540, 540, 500, 490, 470, 480, 500, 500, 520, 460, 520, 480, 480, 500, 560, 560, 570, 520, 520, 515, 505, 525, 550, 510, 580, 580, 495, 485, 520, 550, 500, 500, 510]"
creme crown,10.0,2.0,[10],"[2, 2, 2, 2, 2, 2]"
crown of autumn,140.0,138.45,"[130, 150]","[115, 115, 150, 135, 135, 140, 150, 120, 130, 125, 140, 130, 100, 190, 170, 170, 155, 150, 130, 135, 180, 140, 100, 150, 115, 115, 150, 150, 130]"
crown of duplication,212.5,207.63,"[210, 215]","[210, 200, 195, 180, 185, 185, 210, 210, 225, 190, 250, 210, 210, 200, 200, 220, 215, 195, 250, 210, 240, 230, 230, 200, 170, 210, 210, 190, 200, 205, 220, 240, 200, 230, 200, 200, 220, 210, 200, 220, 200, 230, 200, 220, 220, 210, 230, 200, 175, 190, 220, 230, 170, 220, 170, 200, 240, 228, 228, 200, 220, 210, 215, 210, 210, 220, 170, 220, 230, 170, 210, 230, 230, 165, 220, 220, 190, 220, 210, 170, 220, 200, 225, 210, 220, 235, 195, 200, 235, 210, 205, 220, 170, 190, 190, 190, 220, 205, 175, 175, 205, 190, 230, 190, 180, 220, 270, 250, 240, 180, 180, 180, 210, 170, 250, 210, 210, 160, 200, 200, 200, 220]"
crown of enlightenment,29.33,24.31,"[23, 35, 30]","[25, 45, 40, 15, 20, 18, 21, 45, 27, 20, 20, 35, 20, 20, 24, 35, 45, 20, 27, 35, 12, 15, 25, 25, 15, 25, 17, 25, 20, 18, 20, 15, 25, 27, 20, 18, 21, 6, 25, 40, 40, 15, 21, 30, 25, 20, 25, 20]"
crown of seasons,448.11,663.35,"[510, 610, 670, 460, 610, 6, 630, 6, 630, 470, 700, 470, 680, 630, 600, 660, 6, 470, 510, 6, 660, 650, 500, 620, 610, 650, 6, 6, 670, 6, 630, 6, 650, 470, 640, 5, 490, 470, 450, 660, 620, 620, 640, 610, 540, 490, 530, 6, 6, 620, 630, 6, 5, 650, 630, 620, 475, 6, 620, 660, 6, 610]","[650, 650, 630, 730, 670, 705, 660, 670, 675, 600, 635, 670, 680, 680, 675, 680, 650, 625, 670, 660, 630, 660, 630, 630, 675, 640, 630, 680, 660, 650, 620, 700, 700, 620, 660, 620, 670, 650, 680, 670, 625, 660, 655, 655, 680, 640, 670, 660, 630, 630, 680, 710, 655, 650, 680, 620, 670, 620, 630, 685, 685, 670, 720, 640, 630, 630, 670, 635, 670, 665, 630, 680, 670, 750, 750, 750, 620, 640, 670, 690, 650, 715, 715, 730, 620, 620, 675, 660, 630, 665, 650, 650, 690, 690, 660, 650, 660, 650, 625, 620, 630, 625, 660, 680, 680, 650, 670, 640, 650, 680, 710, 710, 695, 670, 670, 710, 650, 680, 670, 620, 630, 730, 730, 730, 630, 690, 600, 665, 640, 640, 690, 670, 620, 685, 700, 750, 670, 670, 680, 650, 735, 670, 650, 700, 675, 640, 550, 630, 660, 650, 590, 590, 650, 650, 670, 670, 710, 665, 685, 630, 630, 680, 630, 630, 680, 695, 695, 650, 635, 710, 640, 680, 680, 665, 630, 660, 660, 630, 690, 690, 645, 705, 705, 680, 675, 700, 630, 670, 650, 680, 750, 675, 700, 680, 655, 630, 640, 630, 640, 690, 630, 680, 730, 710, 670, 670, 620, 660, 680, 680, 645, 645, 670, 670, 665, 650, 670, 650, 680, 630, 620, 630, 630, 670, 675, 640, 665, 650, 670, 670, 650, 650, 625, 700, 700, 700, 630, 680, 650, 680]"
crown of spring,135.0,156.9,"[130, 135, 140]","[180, 195, 180, 140, 140, 150, 160, 140, 140, 170, 200, 170, 140, 145, 150, 150, 170, 160, 185, 170, 155, 155, 170, 150, 150, 150, 150, 110, 125]"
crown of summer,N/A,121.45,N/A,"[130, 113, 115, 105, 120, 120, 120, 100, 125, 130, 120, 110, 115, 130, 115, 120, 108, 125, 125, 120, 115, 110, 130, 120, 115, 120, 120, 120, 120, 130, 125, 120, 130, 110, 130, 125, 130, 150, 150, 120, 120, 125]"
crown of the cosmos,335.0,515.56,"[500, 500, 5]","[528, 495, 500, 500, 500, 510, 510, 520, 505, 500, 520, 505, 520, 510, 510, 530, 515, 520, 538, 525, 528, 550, 530, 525, 520, 510, 520, 500, 500, 510, 510, 535, 505, 525]"
crown of winter,163.33,177.19,"[160, 160, 170]","[180, 160, 200, 160, 160, 170, 170, 135, 140, 160, 210, 210, 130, 130, 120, 160, 220, 220, 220, 170, 170, 310, 127, 120, 230, 225]"
crystal crown,222.15,309.36,"[170, 185, 280, 180, 235, 310, 240, 240, 335, 200, 200, 300, 195, 3, 180, 260, 260, 220, 270, 180]","[300, 305, 306, 240, 300, 345, 345, 320, 295, 350, 320, 325, 340, 310, 310, 300, 285, 300, 310, 350, 350, 340, 340, 300, 300, 295, 300, 300, 240, 320, 290, 320, 300, 320, 315, 300, 310, 310, 320, 300, 300, 310, 280, 305, 320, 310, 300, 305, 330, 300, 260, 293, 310, 300, 330, 305, 310, 350, 230, 310, 295, 300, 350, 350, 300, 300, 290, 320, 325, 310, 295, 293, 310, 300, 330, 330, 290, 300, 300, 310, 310, 350, 300, 255, 255, 310, 350, 350, 294, 330, 330, 305, 300, 310, 310, 310, 320, 310, 320, 320, 250, 300, 285, 305, 320, 295, 250, 330, 350, 295, 300, 350, 350, 300, 300, 300, 300, 330, 340, 300, 300, 300, 300, 330, 340, 300, 250, 360, 320, 300, 350, 310, 310, 320, 320, 360, 300, 330, 300, 300, 290, 300, 300, 310, 315, 300, 300, 300, 300, 290, 290, 315, 315, 300, 315, 315, 330, 330, 330, 310, 310, 325, 238, 300, 310, 325, 315, 340, 300, 300, 300, 320, 320, 330, 310, 295, 300, 310, 310, 290, 294, 294, 325, 330, 305, 240, 320, 320, 370, 310, 240, 300, 294, 340, 295, 300, 345, 345, 350, 295, 310, 294, 295, 305, 285, 320, 310, 310, 310, 340]"
crystal of hoa,99.62,114.71,"[115, 115, 80, 110, 100, 80, 115, 100, 80, 115, 100, 100, 85]","[150, 130, 130, 140, 110, 110, 120, 100, 90, 115, 150, 150, 150, 110, 110, 115, 110, 150, 110, 100, 100, 115, 130, 100, 115, 115, 90, 110, 105, 105, 100, 105, 125, 100, 100, 120, 120, 120, 100, 130, 90, 110, 120, 120, 110, 125, 95, 125, 95, 95, 120, 95, 105, 115, 95, 110, 100, 125, 110, 140, 140, 140, 120, 125, 105, 130, 110, 120, 130, 130, 130, 130, 110, 140, 125, 120, 110, 115, 115, 105, 115, 105, 125, 110, 110, 125, 120, 110, 120, 100, 110, 100, 120, 110, 110, 105, 110, 130, 135, 110, 150, 150, 110, 110, 90, 130, 98, 130, 100, 100, 140, 80, 80, 100, 125, 125, 85, 85, 105, 100, 120, 100, 100, 100, 110, 135, 100, 95, 110, 110, 125, 115, 135, 135, 110, 110, 125, 130, 100, 120, 130, 130, 100, 105, 105]"
cupcake hat,N/A,1.33,N/A,"[1, 2, 1]"
cursed wizard hat,N/A,1.0,N/A,"[1, 1, 1]"
cute bulb mask,200.0,213.31,[200],"[220, 220, 240, 200, 250, 250, 200, 193, 230, 200, 200, 185, 185]"
dame's fedora,N/A,0.25,N/A,[0.25]
dancemaster's crown,N/A,91.0,N/A,"[81, 88, 86, 85, 115]"
dark bunny mask,N/A,13.5,N/A,"[15, 12]"
dark cult hood,N/A,N/A,N/A,N/A
darkening hood,60.0,72.57,"[60, 60, 70, 50]","[85, 90, 65, 65, 50, 75, 78]"
dashing dolphin hat,N/A,97.5,N/A,"[105, 90]"
demogorgon mask,N/A,2.67,N/A,"[3, 2, 2, 3, 3, 3]"
demon control cap,233.33,249.85,"[230, 220, 240, 250, 220, 240]","[250, 250, 240, 240, 230, 250, 230, 240, 280, 260, 235, 250, 255, 250, 300, 269, 250, 275, 255, 260, 250, 240, 240, 250, 280, 250, 240, 240, 269, 240, 240, 260, 220, 220, 260, 260, 240, 240, 225, 250, 270, 270, 270, 250, 250, 235, 235, 230]"
diamond horn,527.08,643.42,"[625, 590, 450, 480, 480, 390, 550, 490, 460, 620, 570, 620]","[440, 600, 640, 550, 620, 580, 570, 850, 850, 600, 630, 620, 450, 910, 700, 640, 440, 650, 700, 850, 545, 550, 700, 880, 475, 560, 700, 840, 510, 620, 640, 670, 565, 510, 870, 620, 650, 650, 700, 710, 850, 690, 690, 560, 770, 635, 850, 625, 550, 465, 930, 550, 620, 640, 520, 640, 610, 570, 590, 660, 860, 860, 650, 655, 700, 870, 625, 625, 445, 870, 710, 650, 880, 610, 640, 565, 800, 840, 580, 520, 670, 575, 660, 645, 555, 555, 500, 900, 625, 650, 680, 560, 565, 565, 870, 560, 570, 550, 480, 870, 670, 660, 480, 640, 630, 480, 445, 600, 670, 640, 870, 850, 475, 950, 545, 575, 665, 440, 540, 880, 650, 570, 590, 590, 500, 500, 565, 875, 570, 460, 460, 555, 555]"
doctor's blingin' cap,N/A,140.0,N/A,[140]
dominatus moderateus,N/A,3.41,N/A,"[2, 3, 4, 3, 4, 6, 5, 5, 2, 3, 3, 3, 4, 2, 4, 3, 3, 5, 3, 3, 2, 3]"
doompunk top hat,N/A,1.6,N/A,"[2, 1, 1, 2, 2]"
dragon knight's helm,60.0,66.76,[60],"[65, 75, 68, 65, 56, 56, 70, 69, 69, 75, 75, 70, 68, 64, 65, 60, 65]"
dried leaf crown,3.14,4.06,"[4, 3, 5, 3, 3, 1, 3]","[5, 3, 4, 4, 5, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 6, 4, 4, 4, 3, 3, 5, 3, 3, 5, 5, 4, 4, 4, 3, 5, 5, 5, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 5, 5, 5, 5, 3, 5, 3, 4, 3, 5, 4, 3, 4, 3, 5, 4, 4, 4]"
drinks hat,N/A,N/A,N/A,N/A
druid's crown,N/A,5.11,N/A,"[7, 7, 7, 3, 5, 5, 4, 3, 5]"
dumplings hat,81.25,94.0,"[60, 130, 55, 80]","[120, 68]"
dwarven mining helm,0.67,2.17,"[0.3333333333333333, 1]","[2, 2, 3, 1, 6, 2, 1, 2, 2, 2, 2, 3, 1, 5, 1, 2, 1, 3, 1, 4, 2, 1, 1]"
easter bonnet,148.46,148.59,"[150, 160, 160, 130, 150, 140, 125, 150, 170, 170, 120, 170, 135]","[125, 135, 150, 150, 175, 145, 150, 140, 140, 130, 150, 165, 150, 150, 145, 145, 140, 140, 140, 120, 160, 180, 180, 145, 130, 150, 150, 135, 170, 150, 150, 125, 150, 150, 160, 160, 160, 155, 130, 160, 170, 120, 160, 160, 140, 135, 160, 135, 170, 160, 130, 160, 150, 160, 150, 150, 165, 165, 150, 150, 140, 150, 110, 160, 105, 140, 140, 165, 140, 145, 180]"
egghead,400.0,438.13,"[400, 400]","[435, 465, 415, 405, 460, 470, 435, 510, 420, 420, 410, 470, 500, 405, 450, 440, 440, 440, 440, 440, 465, 420, 390, 410, 400, 440, 403, 450, 440, 430, 430, 395, 420, 400, 420, 415, 500, 420, 420, 420, 420, 420, 435, 415, 450, 450, 420, 400, 470, 400, 550, 460, 460, 450, 420, 475, 475, 470, 440, 450]"
elf hat,1.0,N/A,"[1, 1]",N/A
ezio's hood,N/A,N/A,N/A,N/A
fairy crown,N/A,0.1,N/A,"[0.2, 0.1, 0.1, 0.06666666666666667, 0.1, 0.06666666666666667, 0.1, 0.16666666666666666, 0.1, 0.06666666666666667, 0.06666666666666667]"
familiar hat,17.0,132.17,"[2, 32]","[180, 120, 9, 2, 2, 210, 210, 10, 2, 135, 5, 110, 100, 250, 300, 205, 180, 250, 250, 110, 130, 140, 130]"
feather headdress,N/A,5.83,N/A,"[8, 3, 3, 10, 7, 4]"
fedora,0.26,2.69,"[0.2, 0.3333333333333333, 0.25]","[1, 0.3333333333333333, 12, 9, 2, 0.5, 0.5, 9, 0.3333333333333333, 8, 8, 11, 0.5, 0.1, 0.3333333333333333, 0.25, 2, 0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 10, 0.25, 0.25, 8, 8, 1, 10, 8, 0.25, 0.25, 0.25, 0.3333333333333333, 9, 0.5, 0.5, 0.2, 0.25, 0.25, 1, 0.5, 0.3333333333333333, 1, 0.5, 2, 0.3333333333333333, 0.3333333333333333, 1, 1, 9, 10, 0.5]"
fiesta sombrero,46.43,59.24,"[65, 30, 50, 60, 45, 35, 40]","[60, 50, 45, 50, 55, 60, 75, 55, 55, 60, 70, 60, 60, 80, 53, 55, 75, 50, 70, 60, 60, 60, 55, 50, 50, 70, 50, 60, 55, 60, 60, 60, 60, 55, 52, 75, 60, 70, 65, 80, 60, 55, 50, 55, 50, 45, 50, 60, 40, 65, 55, 70, 55, 55, 60, 65, 65, 60, 80, 55, 40, 65, 60, 60, 57, 50, 50, 80, 80, 50]"
firefighter helmet - red,N/A,N/A,N/A,N/A
firefighter helmet - yellow,N/A,16.73,N/A,"[0.2, 25, 25]"
fishing hat,102.5,165.0,"[25, 180]","[175, 175, 145]"
flamingo hat,N/A,4.0,N/A,[4]
floatie crown,450.0,519.55,"[340, 450, 400, 400, 500, 380, 520, 420, 430, 450, 450, 500, 500, 510, 500]","[540, 500, 550, 570, 550, 510, 500, 550, 520, 520, 490, 500, 520, 530, 520, 580, 580, 520, 520, 500, 540, 520, 510, 540, 550, 530, 530, 500, 525, 530, 500, 500, 520, 515, 510, 520, 500, 500, 510, 525, 505, 525, 530, 560, 520, 520, 520, 550, 520, 550, 510, 500, 500, 510, 520, 580, 560, 495, 510, 500, 500, 540, 560, 520, 490, 540, 500, 520, 525, 450, 500, 500, 500, 500, 500, 540, 530, 485, 500, 560, 520, 570, 540, 490, 505, 570, 500, 520, 500, 480, 510, 510, 440, 525, 525, 490, 535, 510, 530, 545, 500, 550, 570, 510, 520, 515, 515, 540, 445, 480, 530, 520, 550, 470, 510, 550, 550, 520, 550, 520, 520, 550, 505, 500, 510, 515, 510, 520, 480, 480, 520, 550]"
floppy straw sun hat,0.25,0.75,[0.25],"[0.5, 1]"
flower headband,N/A,1.36,N/A,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1]"
foil hat,N/A,N/A,N/A,N/A
football helmet,2.74,2.0,"[10, 0.5, 2, 0.2, 1]",[2]
foppy 4.0,N/A,N/A,N/A,N/A
foxy hat,N/A,14.0,N/A,"[15, 15, 12]"
frangipani,495.83,569.96,"[430, 430, 550, 440, 450, 430, 615, 555, 520, 530, 485, 450, 480, 520, 430, 590, 515, 590, 590, 410, 520, 520, 470, 380]","[620, 620, 590, 615, 615, 600, 520, 620, 625, 620, 515, 535, 435, 530, 620, 450, 570, 620, 510, 640, 562, 410, 600, 600, 610, 430, 575, 565, 530, 550, 590, 540, 560, 560, 650, 650, 600, 600, 625, 540, 605, 485, 530, 540, 660, 540, 620, 530, 530, 520, 530, 620, 630, 650, 650, 530, 540, 570, 520, 500, 550, 560, 625, 530, 525, 550, 650, 650]"
froghat,300.0,63.0,[300],[63]
fruity hat,N/A,N/A,N/A,N/A
funk wizard hat,N/A,N/A,N/A,N/A
gargoyle mask,N/A,10.32,N/A,"[9, 9, 8, 20, 16, 10, 5, 5, 10, 6, 15, 8, 6, 8, 25, 10, 17, 8, 9, 5, 8, 10]"
gat,N/A,N/A,N/A,N/A
ghost dumplings hat,N/A,120.0,N/A,[120]
ghostking's glory,389.89,428.35,"[390, 390, 405, 380, 380, 390, 390, 395, 400, 400, 390, 390, 390, 405, 380, 398, 360, 395, 380]","[420, 420, 410, 420, 420, 530, 430, 390, 405, 400, 415, 390, 505, 430, 430, 395, 385, 400, 540, 430, 430, 460, 480, 450, 400, 440, 475, 400, 460, 400, 400, 400, 505, 430, 510, 410, 430, 390, 390, 530, 450, 408, 408, 400, 400, 400, 395, 390, 405, 390, 450, 400, 410, 420, 430, 455, 455, 480, 385, 385, 410, 460, 450, 405, 475, 405, 400, 400, 480]"
giant eye head,N/A,N/A,N/A,N/A
golden heartthrob helm,N/A,N/A,N/A,N/A
golden leprechaun hat,N/A,N/A,N/A,N/A
goldfish bowler hat,N/A,33.86,N/A,"[30, 45, 32, 35, 40, 30, 25]"
green leaf crown,27.5,27.17,"[25, 30]","[25, 25, 35, 28, 26, 28, 25, 20, 28, 26, 30, 30]"
greezak horde - warrior helmet,N/A,N/A,N/A,N/A
grow antennae,N/A,7.67,N/A,"[6, 10, 9, 8, 7, 6]"
grow punk helmet,N/A,2.15,N/A,"[2, 1, 2, 6, 2, 2, 2, 3, 2, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 3, 3, 3, 2, 3, 2, 3, 2, 2, 3, 3, 1, 2, 2]"
growch's hat,N/A,N/A,N/A,N/A
growies cap,1.0,1.18,"[1, 1, 1, 1]","[1, 0.5, 0.5, 0.5, 0.5, 1, 1, 0.2, 0.5, 0.5, 0.5, 3, 5, 1, 0.5, 2, 0.3333333333333333, 1, 3, 1]"
guild challenge crown,17.17,20.55,"[18, 15, 15, 18, 20, 17]","[20, 20, 18, 20, 17, 20, 25, 20, 16, 19, 21, 21, 18, 20, 23, 22, 25, 20, 25, 21, 21, 22, 21, 18, 20, 25, 20, 20, 20, 22, 20, 20, 20, 22, 19, 23, 25, 21, 18, 20, 22, 21, 20, 20, 22, 22, 23, 21, 20, 20, 20, 21, 21, 21, 18, 18, 25, 20, 21, 20, 20, 21, 21, 21, 21, 19, 19, 20, 20, 22, 15, 24, 20, 19, 20, 20, 23, 25, 20, 18, 20, 20, 22, 18, 19, 18, 19]"
happy holidays hat,2.0,30.0,[2],[30]
harvest hood-ini,N/A,25.12,N/A,"[30, 28, 25, 25, 25, 25, 28, 25, 25, 23, 24, 22, 25, 30, 22, 25, 25, 20, 25, 28, 25, 25, 23, 25]"
harvest jade hat,N/A,281.43,N/A,"[260, 280, 325, 225, 230, 325, 325]"
