Name,Buy,Sell,Found Buy Prices,Found Sell Prices
dwarven mining helm,0.67,2.17,"[0.3333333333333333, 1]","[2, 1, 3, 5, 3, 2, 1, 2, 1, 6, 2, 1, 2, 2, 3, 1, 1, 2, 2, 1, 1, 2, 4]"
easter bonnet,148.46,148.59,"[170, 170, 170, 150, 160, 160, 150, 140, 135, 120, 125, 130, 150]","[150, 150, 150, 160, 160, 150, 180, 180, 155, 130, 165, 165, 145, 150, 160, 135, 135, 170, 165, 160, 140, 175, 160, 125, 145, 135, 140, 140, 140, 160, 110, 180, 165, 105, 140, 130, 150, 150, 140, 140, 150, 135, 170, 130, 160, 160, 120, 150, 150, 120, 150, 140, 145, 145, 150, 160, 160, 150, 140, 150, 140, 170, 150, 130, 125, 150, 150, 145, 150, 160, 160]"
egghead,400,438.13,"[400, 400]","[470, 550, 440, 440, 450, 430, 440, 435, 410, 420, 435, 420, 460, 460, 415, 390, 420, 470, 420, 400, 475, 475, 440, 400, 420, 435, 420, 420, 440, 465, 510, 420, 420, 420, 410, 395, 430, 415, 450, 405, 500, 420, 403, 450, 470, 405, 440, 470, 420, 500, 400, 465, 450, 415, 460, 440, 450, 450, 400, 440]"
elf hat,1,N/A,"[1, 1]",N/A
ezio's hood,N/A,N/A,N/A,N/A
fairy crown,N/A,0.1,N/A,"[0.1, 0.16666666666666666, 0.2, 0.1, 0.1, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.1, 0.1, 0.06666666666666667]"
familiar hat,17,132.17,"[32, 2]","[135, 300, 2, 100, 205, 110, 250, 250, 9, 2, 2, 120, 110, 180, 180, 10, 250, 210, 210, 140, 130, 130, 5]"
feather headdress,N/A,5.83,N/A,"[3, 8, 7, 3, 4, 10]"
fedora,0.26,2.69,"[0.3333333333333333, 0.2, 0.25]","[1, 0.5, 0.5, 0.5, 0.5, 10, 0.25, 0.25, 0.5, 12, 0.5, 0.3333333333333333, 1, 0.3333333333333333, 2, 11, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 9, 10, 10, 0.2, 8, 0.1, 0.25, 0.25, 0.25, 8, 9, 0.25, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 1, 2, 0.5, 0.5, 1, 0.5, 9, 9, 1, 0.25, 0.25, 8, 8, 2, 1, 8, 0.5, 0.5, 0.25, 0.3333333333333333]"
fiesta sombrero,46.43,59.24,"[50, 40, 65, 30, 45, 60, 35]","[75, 70, 55, 65, 50, 70, 40, 55, 60, 60, 45, 55, 60, 60, 60, 50, 60, 60, 60, 55, 55, 65, 50, 50, 50, 60, 55, 50, 70, 45, 80, 55, 55, 40, 55, 53, 60, 80, 80, 60, 55, 60, 55, 60, 50, 55, 65, 65, 50, 52, 57, 75, 50, 60, 75, 55, 50, 65, 60, 60, 60, 60, 80, 60, 80, 50, 60, 50, 70, 70]"
firefighter helmet - red,N/A,N/A,N/A,N/A
firefighter helmet - yellow,N/A,16.73,N/A,"[25, 25, 0.2]"
fishing hat,102.5,165,"[180, 25]","[175, 145, 175]"
flamingo hat,N/A,4,N/A,[4]
floatie crown,450,519.55,"[430, 400, 500, 450, 520, 500, 500, 500, 340, 380, 510, 450, 420, 400, 450]","[520, 540, 490, 520, 520, 520, 525, 535, 500, 495, 520, 550, 530, 500, 550, 500, 550, 510, 520, 560, 560, 530, 500, 545, 525, 520, 570, 530, 510, 550, 500, 500, 500, 570, 520, 540, 505, 515, 550, 500, 500, 520, 530, 550, 500, 500, 520, 520, 560, 510, 485, 450, 540, 440, 525, 510, 510, 490, 530, 550, 510, 525, 525, 510, 525, 515, 515, 500, 470, 540, 500, 500, 500, 520, 540, 520, 530, 550, 510, 520, 510, 550, 540, 520, 500, 480, 480, 500, 480, 560, 500, 500, 580, 530, 510, 505, 520, 510, 490, 580, 580, 520, 540, 540, 530, 520, 500, 515, 550, 500, 570, 510, 520, 520, 520, 570, 520, 520, 490, 510, 500, 500, 505, 500, 510, 520, 480, 550, 520, 550, 550, 445]"
floppy straw sun hat,0.25,0.75,[0.25],"[1, 0.5]"
flower headband,N/A,1.36,N/A,"[2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]"
foil hat,N/A,N/A,N/A,N/A
football helmet,2.74,2,"[1, 0.2, 10, 0.5, 2]",[2]
foppy 4.0,N/A,N/A,N/A,N/A
foxy hat,N/A,14,N/A,"[15, 12, 15]"
frangipani,495.83,569.96,"[450, 615, 440, 430, 520, 555, 380, 430, 530, 470, 485, 550, 450, 410, 430, 480, 520, 520, 590, 590, 515, 590, 430, 520]","[650, 485, 660, 500, 650, 600, 620, 590, 570, 600, 430, 520, 590, 625, 560, 560, 625, 530, 515, 620, 525, 605, 550, 610, 530, 530, 530, 550, 530, 510, 620, 565, 560, 520, 620, 520, 530, 575, 550, 535, 570, 630, 620, 650, 410, 540, 640, 530, 600, 540, 650, 650, 620, 540, 540, 435, 540, 615, 600, 600, 615, 650, 562, 625, 530, 450, 620, 620]"
froghat,300,63,[300],[63]
fruity hat,N/A,N/A,N/A,N/A
funk wizard hat,N/A,N/A,N/A,N/A
gargoyle mask,N/A,10.32,N/A,"[6, 5, 10, 15, 5, 8, 6, 8, 9, 10, 9, 17, 10, 10, 25, 8, 5, 8, 20, 8, 16, 9]"
gat,N/A,N/A,N/A,N/A
ghost dumplings hat,N/A,120,N/A,[120]
ghostking's glory,389.89,428.35,"[405, 390, 400, 400, 390, 390, 390, 380, 380, 360, 405, 380, 390, 395, 390, 398, 395, 380, 390]","[420, 430, 475, 400, 390, 405, 460, 385, 385, 390, 510, 390, 400, 430, 430, 385, 400, 540, 405, 505, 430, 430, 420, 400, 400, 410, 410, 450, 440, 405, 460, 400, 480, 390, 390, 420, 450, 430, 475, 450, 415, 405, 400, 530, 450, 480, 400, 410, 505, 408, 408, 400, 530, 430, 410, 420, 420, 455, 455, 400, 395, 400, 400, 430, 480, 390, 460, 400, 395]"
giant eye head,N/A,N/A,N/A,N/A
golden heartthrob helm,N/A,N/A,N/A,N/A
golden leprechaun hat,N/A,N/A,N/A,N/A
goldfish bowler hat,N/A,33.86,N/A,"[35, 32, 25, 30, 30, 45, 40]"
green leaf crown,27.5,27.17,"[30, 25]","[25, 35, 30, 28, 26, 26, 28, 30, 25, 28, 20, 25]"
greezak horde - warrior helmet,N/A,N/A,N/A,N/A
grow antennae,N/A,7.67,N/A,"[6, 9, 6, 10, 8, 7]"
grow punk helmet,N/A,2.15,N/A,"[1, 3, 1, 3, 2, 6, 1, 2, 2, 2, 1, 2, 2, 1, 3, 3, 2, 1, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 1, 2, 2, 1, 2]"
growch's hat,N/A,N/A,N/A,N/A
growies cap,1,1.18,"[1, 1, 1, 1]","[0.5, 1, 0.3333333333333333, 1, 0.5, 1, 1, 2, 1, 0.5, 5, 3, 0.5, 0.5, 0.5, 3, 1, 0.2, 0.5, 0.5]"
guild challenge crown,17.17,20.55,"[15, 17, 18, 20, 15, 18]","[18, 21, 20, 18, 22, 20, 18, 20, 20, 21, 21, 18, 22, 22, 20, 22, 23, 25, 25, 21, 21, 15, 20, 18, 21, 19, 21, 18, 23, 21, 21, 20, 20, 20, 20, 20, 18, 20, 20, 18, 20, 23, 20, 17, 21, 20, 20, 20, 21, 20, 25, 19, 19, 20, 24, 22, 20, 18, 22, 19, 16, 19, 21, 21, 21, 19, 20, 20, 20, 20, 20, 25, 22, 19, 21, 21, 22, 25, 20, 20, 20, 23, 20, 25, 22, 20, 25]"
happy holidays hat,2,30,[2],[30]
harvest hood-ini,N/A,25.12,N/A,"[28, 25, 23, 25, 25, 28, 25, 20, 25, 22, 25, 25, 25, 25, 22, 25, 25, 25, 30, 28, 24, 23, 30, 25]"
harvest jade hat,N/A,281.43,N/A,"[280, 225, 325, 230, 325, 325, 260]"
haunted jack o' lantern,N/A,301.54,N/A,"[460, 310, 220, 440, 450, 283, 283, 440, 420, 310, 2, 2, 300]"
headsman's hood,N/A,10,N/A,[10]
heart antennae hat,N/A,N/A,N/A,N/A
