Name,Buy,Sell,buyPrices,sellPrices
capuchin leash,11.67,14.06,"[10, 10, 15]","[14, 18, 15, 13, 16, 15, 13, 13, 12, 13, 10, 10, 10, 14, 15, 12, 15, 12, 14, 15, 15, 17, 14, 13, 2, 15, 18, 20, 20, 16, 15, 14, 14, 13, 4, 13, 14, 15, 15, 15, 20, 12, 10, 16, 15, 23, 12, 15, 13, 20, 15, 16, 13, 14, 14, 18, 15, 15, 14, 11, 14, 15, 14, 13, 12, 16, 14, 13, 13, 20, 13, 13, 15, 21, 15, 16, 14, 12, 15, 15, 15, 16, 12, 14, 15, 13, 10, 12, 15, 15, 11, 19, 18, 14, 12, 14, 14, 12, 13, 13, 15, 16, 15, 15, 10, 10, 13, 15, 14, 14, 15, 10, 15, 17, 13, 13, 18, 10, 12, 13, 13, 13, 13, 10, 15, 13]"
care pear,2.5,4.99,"[2, 3]","[4, 6, 6, 3, 5, 7, 4, 4, 4, 4, 3, 7, 6, 6, 7, 6, 5, 5, 3, 5, 2, 5, 3, 5, 5, 5, 5, 5, 4, 5, 8, 5, 5, 5, 4, 6, 4, 8, 3, 5, 4, 4, 8, 5, 5, 5, 5, 5, 4, 4, 5, 6, 4, 6, 5, 8, 5, 7, 8, 4, 5, 6, 6, 3, 5, 7, 4, 6, 5, 6, 3, 4, 3, 8, 5, 5, 3, 6, 5, 5, 4, 7, 5, 5, 3, 3, 4, 3, 4, 7]"
catfish leash,1,0.92,[1],"[2, 1, 1, 1, 0.25, 0.25, 0.25, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
celestial dragon charm,215,251.87,"[180, 250]","[233, 320, 225, 245, 230, 250, 230, 250, 300, 265, 245, 265, 230, 245, 245]"
chick leash,23,951.72,"[20, 19, 30, 23]","[23, 34, 34, 20, 34, 3600, 19, 3310, 22, 22, 33, 3490, 3490, 22, 40, 2350, 3400, 34, 33, 3700, 22, 34, 36, 40, 22, 34, 40, 34, 35, 22, 40, 3500, 35, 36, 36, 35, 2450, 22, 22, 22, 3600, 3600, 3200, 3200, 29, 38, 36, 36, 20, 3600]"
chimera's call,N/A,37.84,N/A,"[33, 30, 50, 50, 39, 39, 40, 40, 30, 40, 30, 30, 35, 35, 35, 36, 48, 35, 50, 35, 30, 30, 35, 35, 40, 37, 40, 48, 45, 38, 35]"
chipmunk,29,30.17,"[28, 30]","[25, 25, 25, 35, 30, 30, 30, 28, 39, 30, 25, 28, 24, 20, 25, 24, 40, 40, 33, 40, 24, 30, 30, 20, 40, 20, 40, 25, 30, 40, 20, 25, 25, 20, 20, 25, 25, 30, 30, 30, 30, 35, 25, 35, 35, 40, 30, 25, 30, 27, 25, 32, 29, 25, 33, 20, 33, 35, 40, 35, 35, 30, 40, 33, 35, 35, 40, 35, 25, 35, 20, 20, 30, 25, 20, 30, 40, 30, 25, 35, 29, 25, 38, 25, 40, 27, 30, 40, 40, 40, 40, 30, 25, 30, 30, 33, 33, 30, 25, 25]"
claw of growganoth,31.15,45.22,"[40, 30, 30, 35, 40, 25, 30, 30, 25, 30, 30, 30, 30]","[25, 50, 45, 70, 50, 40, 50, 40, 40, 40, 50, 50, 45, 50, 30, 40, 40, 40, 50, 50, 45, 70, 50, 30, 30, 37, 50, 50, 50, 50, 35, 50, 35, 50, 35, 30, 50, 60, 40, 40, 40, 40, 35, 35, 55, 40, 45, 30, 40, 30, 45, 50, 70, 40, 40, 45, 45, 55, 70, 70, 80, 40, 50, 40, 55, 30, 40, 38]"
clockwork fish leash,N/A,11.6,N/A,"[10, 10, 10, 5, 23]"
cloud rabbit,82.62,91.29,"[80, 70, 70, 65, 70, 70, 70, 100, 100, 80, 70, 80, 70, 70, 90, 100, 100, 100, 140, 70, 70]","[70, 85, 70, 80, 120, 80, 75, 100, 100, 90, 80, 95, 140, 100, 90, 85, 80, 120, 90, 100, 100, 90, 120, 100, 90, 90, 100, 100, 150, 85, 100, 80, 100, 110, 85, 120, 90, 100, 115, 120, 80, 90, 85, 85, 100, 100, 90, 75, 75, 90, 105, 100, 90, 90, 90, 90, 75, 90, 90, 85, 85, 10, 100, 100, 80, 80, 70, 85, 82, 82, 90, 80, 75, 80, 75, 95, 85, 95, 90, 75, 80, 150, 90, 85, 85, 90, 120, 90, 80, 80, 82, 90, 80, 75, 85, 85, 140, 80, 80, 75, 80, 90, 80, 80, 95, 95, 85, 80, 120, 80, 89, 70, 120, 80, 110, 80, 120, 125, 90, 75, 85, 95, 120, 75, 65, 85, 100, 90, 65, 90, 85, 100, 85, 94, 130, 90, 120, 73, 100, 90, 85, 75, 85, 160, 85, 80, 70, 80, 85, 85, 80, 70, 90, 90, 85, 85, 70, 70, 90, 140, 100, 100, 80, 95, 80, 110, 90, 85, 90, 80, 90, 80, 95, 80, 90, 90, 80, 80, 65, 80, 120, 75, 120, 80, 175, 90, 90, 80, 100, 85, 80, 75, 80, 95, 90, 120, 150, 90, 80, 85, 100, 85, 90, 90, 95, 80, 80, 130, 115, 85, 100, 90, 90, 85, 75, 100, 100, 70, 85]"
cosmic unicorn bracelet,N/A,956.25,N/A,"[34, 1880, 1880, 31]"
crawdad leash,N/A,3.9,N/A,"[4, 4, 4, 4, 4, 4, 4, 3, 4, 4]"
cuddly piranha,1250,1303.46,[1250],"[1350, 1300, 1150, 1500, 1140, 1490, 1320, 1295, 1320, 1075, 1280, 1250, 1260, 1250, 1250, 1300, 1250, 1400, 1490, 1385, 1385, 1100, 1350, 1350, 1350, 1300]"
cupid leash,2,3.26,[2],"[5, 3, 4, 2, 5, 5, 5, 1, 2, 3, 4, 3, 4, 2, 4, 3, 3, 2, 2]"
cute mutant boogle,N/A,143.29,N/A,"[160, 160, 170, 2, 2, 190, 185, 185, 140, 180, 180, 180, 7, 190, 190, 150, 165]"
cute mutant plonky,N/A,195.62,N/A,"[220, 180, 210, 200, 180, 210, 180, 210, 210, 150, 210, 200, 200, 210, 150, 210]"
cute mutant wonky,8,15.46,[8],"[10, 15, 15, 15, 13, 15, 20, 16, 12, 20, 13, 15, 15, 2, 15, 15, 12, 15, 15, 13, 20, 15, 15, 15, 10, 15, 17, 20, 10, 14, 15, 20, 14, 30, 30]"
cuttlefish leash,0.33,1.15,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 2, 1, 1, 1, 1, 2, 0.5, 0.5, 1, 2, 1, 3, 0.5, 1, 0.5, 0.5, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
dark fairy pendant,20.08,22.71,"[26, 33, 22, 15, 15, 16, 22, 25, 15, 15, 22, 13, 22]","[20, 18, 25, 18, 18, 25, 20, 20, 20, 18, 25, 20, 25, 25, 20, 15, 30, 22, 18, 20, 14, 23, 45, 20, 20, 20, 20, 25, 19, 30, 20, 5, 20, 25, 20, 21, 21, 25, 30, 22, 20, 25, 26, 18, 20, 22, 22, 22, 18, 40, 25, 20, 18, 25, 35, 20, 17, 18, 15, 15, 25, 25, 20, 22, 18, 25, 20, 28, 25, 20, 25, 19, 25, 22, 28, 28, 20, 17, 20, 30, 20, 20, 30, 20, 18, 20, 33, 20, 17, 20, 21, 15, 25, 18, 18, 25, 25, 24, 28, 25, 25, 20, 20, 18, 25, 28, 28, 25, 32, 17, 17, 20, 20, 20, 20, 30, 28, 25, 28, 25, 35, 25, 20, 25, 30, 22, 33, 33, 18, 21, 20, 27, 30, 30, 21, 18, 25, 20, 20]"
death's scarf,N/A,35.72,N/A,"[27, 65, 67, 30, 47, 47, 28, 28, 0.025, 27, 30, 30, 47, 27]"
demon angler leash,N/A,5.49,N/A,"[4, 5, 13, 5, 4, 5, 6, 9, 5, 5, 2, 5, 5, 3, 3, 3, 3, 5, 5, 5, 13, 3, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 3, 13, 13]"
demon control cap,240,260,[240],"[375, 250, 240, 250, 205, 240, 205, 205, 205, 230, 250, 230, 215, 330, 330, 330, 330]"
diamond dog,145,164.67,"[165, 170, 145, 160, 130, 120, 130, 125, 160]","[135, 175, 200, 200, 200, 135, 135, 170, 175, 175, 135, 170, 170, 200, 160, 160, 170, 140, 130, 145, 180, 135, 135, 190, 130, 130, 140, 150, 150, 140, 160, 190, 170, 170, 130, 190, 190, 160, 125, 178, 180, 180, 165, 175, 180, 160, 160, 150, 180, 180, 190, 170, 130, 165, 185, 170, 180, 170, 180, 175, 175, 200, 170, 125, 175, 175]"
diamond dragon,82.5,88.1,"[83, 82]","[88, 85, 88, 91, 90, 85, 90, 87, 86, 91]"
dogfish leash,1,1.35,[1],"[0.5, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1]"
double-headed angel-devil fish leash,N/A,1,N/A,"[1, 1, 1, 1, 1, 1, 1, 1]"
drabbit's foot,N/A,1319.52,N/A,"[12, 18, 1520, 1400, 1450, 1450, 1450, 1120, 1650, 1600, 1700, 1680, 1600, 1150, 1600, 17, 1600, 1520, 1240, 1700, 1650, 1230, 1070, 1500, 1700, 1350, 1650]"
draconic claw,N/A,720,N/A,"[450, 2050, 490, 470, 900, 500, 450, 450]"
dragon hand,22.28,28.94,"[23, 25, 20, 20, 30, 30, 30, 26, 26, 3, 30, 25, 30, 25, 26, 30, 3, 2, 32, 30, 20, 20, 28, 26, 31, 23, 8, 13, 9, 32, 32, 32, 26, 7, 25, 30, 15, 27, 18, 3]","[27, 33, 27, 33, 28, 35, 30, 30, 30, 35, 35, 25, 33, 33, 22, 26, 30, 24, 25, 25, 29, 25, 26, 33, 28, 33, 31, 27, 26, 33, 25, 27, 33, 25, 25, 35, 25, 25, 25, 28, 25, 25, 24, 29, 25, 33, 33, 33, 33, 28, 25, 33, 25, 25, 25, 33, 30, 35, 25, 30, 30, 33, 33, 25, 25, 20, 26, 25, 27, 32, 32, 26, 33, 25, 33, 35, 25, 32, 32, 35, 25, 25, 25, 30, 26, 33, 27, 33, 35, 25, 24, 26, 35, 28, 38, 34, 35, 28, 28, 33, 34, 33, 34, 28, 25, 33, 26, 26, 28, 33, 31, 25, 24, 33, 25, 35, 33, 35, 35, 33, 33, 28, 28, 28, 25, 26, 23, 27, 25, 26, 25, 28, 25, 33, 25, 33, 27, 35, 27, 28, 35, 26, 27, 27, 28, 33, 30, 32, 32, 23, 26, 25, 23, 23, 28, 35, 25, 26, 28, 33, 28, 34, 25, 25, 33, 22, 35, 26, 30, 33, 23, 35, 27, 30, 28, 27, 26, 33, 26, 26, 26, 33, 35, 33, 28, 33, 30, 31, 28, 20, 30, 33, 26, 26, 33, 26]"
dragon of legend,N/A,N/A,N/A,N/A
dragon turtle charm,43.62,43.56,"[40, 45, 45, 40, 40, 30, 40, 40, 50, 50, 45, 45, 50, 45, 45, 40, 47, 40, 45, 55, 50, 40, 40, 40]","[50, 50, 35, 40, 40, 45, 50, 40, 40, 50, 45, 45, 40, 40, 45, 45, 35, 40, 45, 40, 40, 45, 50, 50, 45, 30, 45, 45, 45, 50, 45, 45, 50, 40, 50, 45, 50, 45, 40, 40, 43, 45, 45, 40, 35, 50, 42, 42, 45, 40, 40, 45, 40, 40, 40, 50, 45, 35, 40, 45, 43, 45, 45, 45, 45, 45, 40, 40, 55, 35, 50, 50, 40, 50, 40, 50, 40, 45, 45, 40, 45, 45, 38, 38, 50, 50, 40, 45, 40, 45, 40, 40, 40, 45, 45, 45, 35, 45, 45, 50]"
droid pet,2,1.05,[2],"[1, 0.5, 1, 1, 1, 0.5, 1, 0.5, 1, 2, 1, 1, 1, 1, 1, 1, 0.5, 0.5, 0.5, 1, 1, 1, 1, 1, 1, 0.5, 1, 2, 1, 1, 1, 1, 0.5, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0.5, 1, 0.3333333333333333, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0.5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0.5, 1, 1, 2, 0.5, 1, 1, 1]"
dryad,1.32,2.19,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1]","[3, 2, 4, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 3, 1, 3, 2, 3, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 3, 3]"
dungeonist crab leash,N/A,16.34,N/A,"[17, 10, 18, 18, 15, 20, 20, 20, 18, 18, 20, 20, 15, 16, 20, 18, 18, 16, 20, 20, 10, 20, 5, 11, 16, 15, 15, 20, 15, 9, 15, 15]"
electro magnifying glass,N/A,14.36,N/A,"[15, 13, 17, 20, 13, 18, 20, 12, 15, 10, 10, 12, 15, 15, 8, 14, 15, 15, 15, 13, 16, 14, 20, 16, 15, 12, 12, 5, 10, 10, 14, 17, 14, 13, 12, 13, 20, 13, 13, 13, 13, 16, 13, 10, 13, 16, 20, 14, 18, 18, 13, 20, 13, 13, 15, 13, 12, 13, 15, 13, 9, 15, 18, 11, 17, 30]"
emergency dragon claw,3.8,5.25,"[3, 4, 4, 4, 4]","[6, 6, 6, 4, 5, 6, 7, 5, 5, 4, 5, 6, 4, 5, 5, 4, 4, 6, 5, 4, 6, 5, 6, 4, 4, 5, 6, 6, 5, 6, 6, 8, 5, 4, 5, 6, 4, 6, 4, 5, 6, 5, 7, 5, 5, 9, 5, 5, 5, 6, 6, 6, 5, 5, 6, 5, 4, 5, 6, 4, 6, 4, 6, 8, 4, 7, 9, 6, 4, 5, 6, 5, 4, 4, 6, 6, 6, 5, 4, 5, 4, 4, 6, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 8, 4, 6, 6, 5, 5, 6, 4, 6, 5, 5, 8, 3, 5, 4, 4, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 9, 6, 5, 5, 5, 5, 4, 4, 5, 5, 6, 8, 7, 6, 4, 6, 5, 6, 4, 4, 4, 4, 6, 4, 5, 5]"
ethereal rainbow dragon,9.5,11.83,"[9, 10]","[16, 10, 11, 13, 11, 10]"
euphoric dragon,290,306.55,[290],"[320, 310, 300, 290, 300, 310, 300, 320, 315, 340, 310, 290, 290, 320, 320, 310, 320, 310, 290, 340, 290, 290, 320, 320, 270, 311, 320, 310, 300, 300, 300, 280, 300, 300, 350, 310, 300, 340, 300, 290, 300, 305, 310, 300, 320, 310, 295, 295, 280]"
evil space helmet,N/A,N/A,N/A,N/A
eye of growganoth,N/A,68.38,N/A,"[69, 70, 70, 70, 70, 70, 69, 59]"
fairy,13.12,20.73,"[15, 15, 0.25, 13, 18, 12, 20, 13, 12, 13]","[24, 15, 15, 25, 25, 19, 24, 22, 22, 20, 25, 25, 24, 16, 20, 30, 22, 17, 30, 16, 20, 20, 10, 25, 28, 30, 30, 19, 10, 18, 20, 18, 18, 25, 25, 17, 20, 20, 0.2, 20]"
familiar leash,3,7.22,[3],"[6, 5, 5, 6, 8, 8, 8, 6, 7, 13, 13, 4, 7, 7, 6, 7, 8, 7, 6, 6, 7, 8, 9, 7, 6, 5, 11, 6, 15, 5, 5, 5, 6, 8, 9, 8, 5, 6, 3, 6, 7, 9, 7, 7, 10, 11, 7, 7, 8, 7, 6, 6, 7, 7, 5, 4, 9, 7, 5, 5, 9, 5, 6, 6, 8, 7, 5, 12, 8, 6, 6, 5, 6, 4, 6, 7, 5, 13, 5, 10, 5, 8, 8, 8, 8, 6, 10, 7, 6, 7, 7, 9, 5, 5, 9, 6, 5, 6, 6, 11, 8, 8, 7, 7, 7, 7, 7, 7, 4, 6, 7, 10, 9, 6, 9, 5, 7, 8, 8, 6, 10, 7, 7, 10, 6, 6, 8, 8, 8, 9, 10, 10, 6, 6, 7, 5, 12, 5, 7, 7, 8, 7, 10, 4, 9, 5, 8, 9, 9, 7, 10, 10, 6, 7, 7, 9, 8, 5]"
fc cleats,N/A,5,N/A,"[8, 2]"
fiesta dragon,19.17,35.87,"[30, 28, 3, 25, 2, 27]","[27, 30, 39, 35, 29, 30, 35, 40, 41, 37, 30, 30, 40, 45, 35, 40, 40, 42, 40, 30, 40, 40, 30, 35, 35, 30, 40, 40, 38, 45, 40, 35, 28, 40, 35, 29, 45, 35, 28, 40, 30, 37, 35, 35, 28, 30, 45, 40, 40, 30, 34, 44, 40, 33, 35, 35, 34, 35, 38, 45, 40, 40, 28, 40, 40, 35, 35, 35, 35, 24, 30, 28, 35, 35, 45, 40, 40, 35, 40, 30, 40, 30, 40, 38, 28, 28, 37, 40, 30, 35, 42]"
firefin leash,15,53.15,[15],"[80, 45, 40, 70, 40, 70, 50, 70, 1, 45, 40, 70, 70]"
flowersaurus rex,N/A,9.5,N/A,"[14, 10, 10, 11, 7, 12, 8, 8, 10, 5, 10, 9, 9, 8, 7, 14]"
friendship dragon claw,N/A,25.89,N/A,"[22, 30, 30, 25, 26, 30, 25, 14, 30, 30, 30, 25, 30, 25, 30, 27, 25, 25, 23, 30, 25, 20, 25, 35, 25, 25, 25, 25, 20, 24, 30, 23, 23, 25, 25, 22, 30, 25]"
genie's lamp (disambiguation),N/A,N/A,N/A,N/A
genie's lamp - blue,N/A,N/A,N/A,N/A
genie's lamp - green,N/A,N/A,N/A,N/A
genie's lamp - red,N/A,N/A,N/A,N/A
genie's lamp - yellow,N/A,N/A,N/A,N/A
german shepherd,136.36,268.45,"[300, 200, 50, 120, 120, 100, 120, 140, 115, 40, 4, 450, 40, 110]","[420, 430, 150, 330, 390, 130, 40, 125, 430, 440, 112, 500, 440, 415, 180, 400, 2, 370, 430, 350, 450, 235, 370, 130, 115, 80, 480, 450, 400, 140, 440, 110, 480, 110, 150, 320, 130, 50, 350, 120, 120, 210, 138, 130, 130, 120, 440, 120, 450, 450, 300, 400, 450, 120, 138, 135, 235, 400, 450, 460, 415, 450, 125, 125, 120, 120, 450, 450, 450, 450, 125, 122, 122, 430, 40, 120, 120, 130, 450, 72]"
